Name,UUID,ThatId,S,r,R,g,G,m,M,P,d,D,n,N
Piloo,25863b58-18c1-4897-81eb-d6f9cf6b5037,0,0,0,0,0,0,0,0,0,0,0,0,0
Poorvi,809b91a2-a923-4983-a85f-5eed6293b68f,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratapvarali,18eaa693-173b-4cb4-9560-a1aa2844e346,0,0,0,0,0,0,0,0,0,0,0,0,0
Puriya,774ae631-eb8d-4b8e-9edd-5285e919821f,6,1,0.5,0,0,1,0,1,0,0,0.5,0,1
Puriya dhanashree,fa28470c-d413-44c7-94da-181f530cbfdd,5,1,0.5,0,0,1,0,0.5,1,0.5,0,0,1
Puriya kalyan,ff4e1817-44b2-4cac-ac98-189b280881e7,0,0,0,0,0,0,0,0,0,0,0,0,0
Rageshri,f7fddfc0-8c1d-4dd2-90d5-5d51a99d61f8,3,1,0,0.5,0,1,1,0,0,0,1,1,0
Raj kalyan,eb2571c8-f67e-4686-b6d5-70cf2a14a8f6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramdasi malhar,91d1601a-bffc-44ce-b862-e8e5cb7ba8db,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramkali,b1bbc0f0-7377-463b-b309-524ee8d4f37d,0,0,0,0,0,0,0,0,0,0,0,0,0
Saavani,05901cff-7b10-4551-9b3a-f59fb4a9ef46,0,0,0,0,0,0,0,0,0,0,0,0,0
Saheli todi,277d7cbf-a23d-40a5-a454-34fe6abbe78c,0,0,0,0,0,0,0,0,0,0,0,0,0
Sampurna malkauns,c0a00a39-71a7-4517-8dce-4ace474d487a,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanjari,532d0f11-4c6f-4e39-b240-632b118d04e5,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarang,76d78166-b165-4035-9379-41b2535bc632,0,0,0,0,0,0,0,0,0,0,0,0,0
Saraswati,81b63c29-8e30-4de6-b929-a4ba060a1cf6,0,0,0,0,0,0,0,0,0,0,0,0,0
Savani bihag,abbbc4eb-1079-4471-960a-c5a65ff3c151,0,0,0,0,0,0,0,0,0,0,0,0,0
Shahana,ff344e58-85dd-4776-bf5f-5f751f4d588d,0,0,0,0,0,0,0,0,0,0,0,0,0
Shahana kanada,e3bd27ba-d2a1-4e5b-abda-800dcc0bb4b8,0,0,0,0,0,0,0,0,0,0,0,0,0
Shankara,66238fd5-3d04-4303-b865-b3d038dd293a,0,0,0,0,0,0,0,0,0,0,0,0,0
Shimhendra madhyamam,560949b9-92bf-4e30-883d-c8f94834debb,0,0,0,0,0,0,0,0,0,0,0,0,0
Shivaranjani,1ec2b0a8-fdbd-43b2-8cab-c3199a644dfb,0,0,0,0,0,0,0,0,0,0,0,0,0
Shivmat bhairav,b8cdde9e-a31e-4537-a0fe-cccd76cfb9ce,0,0,0,0,0,0,0,0,0,0,0,0,0
Shree,46997b02-f09c-4969-8138-4e1861f61967,5,1,1,0,0,0.5,0,1,1,1,0,0,1
Shuddh sarang,40dbe1db-858f-4366-bef8-9076eb67340d,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuddha kalyan,fc39cd87-6396-44e5-be57-7d25f6144589,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuddha nat,9d20fe47-eeb4-4361-bcf2-35bab1b52a67,0,0,0,0,0,0,0,0,0,0,0,0,0
